지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),습도(%),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위)
129,서산,2025-04-02 15:00,9.8,,5,43,0,.53,,10
129,서산,2025-04-02 16:00,7,0,3,85,0,.29,,10
129,서산,2025-04-02 17:00,7.7,.4,3.3,80,.3,.98,,4
129,서산,2025-04-02 18:00,7.4,0,3,86,.1,.33,,8
129,서산,2025-04-02 19:00,7.2,,2.5,91,0,.05,,9
129,서산,2025-04-02 20:00,7.2,,2.1,91,,,,9
129,서산,2025-04-02 21:00,6.9,,1.4,88,,,,9
129,서산,2025-04-02 22:00,6.8,,1.5,85,,,,8
129,서산,2025-04-02 23:00,6.5,,.3,84,,,,8
129,서산,2025-04-03 00:00,6.4,0,1.6,86,,,,8
129,서산,2025-04-03 01:00,6.4,,1.9,84,,,,7
129,서산,2025-04-03 02:00,6.2,,.9,84,,,,8
129,서산,2025-04-03 03:00,4.5,,.8,91,,,,0
129,서산,2025-04-03 04:00,3.1,,.4,93,,,,0
129,서산,2025-04-03 05:00,2.7,,1.6,95,,,,0
129,서산,2025-04-03 06:00,2.6,,1,94,,,,0
129,서산,2025-04-03 07:00,2.5,,.9,95,0,.05,,0
129,서산,2025-04-03 08:00,5.2,,1.3,87,.8,.48,,0
129,서산,2025-04-03 09:00,8.1,,2.3,69,1,1.23,,0
129,서산,2025-04-03 10:00,9.9,,3,65,1,1.98,,0
129,서산,2025-04-03 11:00,11.8,,1.7,53,1,2.6,,2
129,서산,2025-04-03 12:00,12.9,,2.1,43,.9,2.83,,2
129,서산,2025-04-03 13:00,14.2,,1.4,38,.8,2.75,,2
129,서산,2025-04-03 14:00,13.8,,3.9,47,.9,2.93,,6
129,서산,2025-04-03 15:00,12,,4.8,54,0,.91,,8
129,서산,2025-04-03 16:00,12.6,,3.4,52,.3,1.39,,4
129,서산,2025-04-03 17:00,11.6,,3.6,52,.9,1.45,,0
129,서산,2025-04-03 18:00,9.9,,3.1,55,1,.75,,0
129,서산,2025-04-03 19:00,8,,2,62,.3,.16,,0
129,서산,2025-04-03 20:00,6.1,,.1,73,,,,0
129,서산,2025-04-03 21:00,4.8,,.5,80,,,,0
129,서산,2025-04-03 22:00,4.1,,.5,84,,,,0
129,서산,2025-04-03 23:00,3.1,,.3,89,,,,0
129,서산,2025-04-04 00:00,3.8,,1.1,88,,,,0
129,서산,2025-04-04 01:00,3.6,,0,87,,,,0
129,서산,2025-04-04 02:00,3.3,,.3,90,,,,0
129,서산,2025-04-04 03:00,2.4,,.7,92,,,,0
129,서산,2025-04-04 04:00,1.4,,0,94,,,,0
129,서산,2025-04-04 05:00,1.2,,.5,95,,,,0
129,서산,2025-04-04 06:00,.5,,.1,96,,,,0
129,서산,2025-04-04 07:00,.7,,.1,96,0,.05,,0
129,서산,2025-04-04 08:00,3.4,,0,97,.7,.47,,0
129,서산,2025-04-04 09:00,7,,.9,80,1,1.27,,4
129,서산,2025-04-04 10:00,10.9,,1.7,53,1,2.02,,0
129,서산,2025-04-04 11:00,13,,2.6,41,1,2.69,,0
129,서산,2025-04-04 12:00,13.8,,3.6,39,1,3.12,,0
129,서산,2025-04-04 13:00,14.7,,3.4,39,1,3.17,,0
129,서산,2025-04-04 14:00,14.6,,3.3,40,1,3.08,,0
129,서산,2025-04-04 15:00,13.8,,3.8,40,1,2.8,,0
129,서산,2025-04-04 16:00,13.2,,4.5,45,1,2.26,,0
129,서산,2025-04-04 17:00,12.2,,3.6,47,1,1.54,,0
129,서산,2025-04-04 18:00,11.3,,2.7,49,1,.76,,0
129,서산,2025-04-04 19:00,9.3,,1.7,59,0,.15,,0
129,서산,2025-04-04 20:00,7.6,,1.1,67,,,,2
129,서산,2025-04-04 21:00,6.8,,.7,69,,,,4
129,서산,2025-04-04 22:00,6.2,,.7,75,,,,4
129,서산,2025-04-04 23:00,5.8,,1.5,78,,,,8
129,서산,2025-04-05 00:00,6.8,,2.1,80,,,,7
129,서산,2025-04-05 01:00,7,0,1.3,82,,,,10
129,서산,2025-04-05 02:00,7,0,.8,82,,,,8
129,서산,2025-04-05 03:00,7.2,,1.2,82,,,,9
129,서산,2025-04-05 04:00,7.4,,1.7,83,,,,10
129,서산,2025-04-05 05:00,6.9,,2.2,87,,,,10
129,서산,2025-04-05 06:00,7.1,,1.3,86,,,,10
129,서산,2025-04-05 07:00,7.1,,0,87,0,.02,,9
129,서산,2025-04-05 08:00,8.2,0,.7,87,0,.13,,10
129,서산,2025-04-05 09:00,8,2.4,.7,95,0,.07,,10
129,서산,2025-04-05 10:00,8.2,4.4,1.2,96,0,.1,,10
129,서산,2025-04-05 11:00,8.3,4,5.6,97,0,.19,,10
129,서산,2025-04-05 12:00,8.8,1.9,2.9,96,0,.23,,10
129,서산,2025-04-05 13:00,8.8,.4,4.9,94,0,.11,,10
129,서산,2025-04-05 14:00,9.4,,4.1,94,0,.21,,8
129,서산,2025-04-05 15:00,9.2,,3.1,95,0,.15,,10
129,서산,2025-04-05 16:00,8.9,0,2.8,97,0,.15,,10
129,서산,2025-04-05 17:00,8.9,1.3,3.6,97,0,.06,,10
129,서산,2025-04-05 18:00,8.5,.1,4.6,97,0,.05,,8
129,서산,2025-04-05 19:00,7.4,,3.9,92,0,.05,,7
129,서산,2025-04-05 20:00,6.8,,3.3,90,0,0,,8
129,서산,2025-04-05 21:00,6.8,,2.4,89,,,,7
129,서산,2025-04-05 22:00,6.9,,3,90,,,,8
129,서산,2025-04-05 23:00,6,,1.8,90,,,,7
129,서산,2025-04-06 00:00,5.1,,1.5,93,,,,7
129,서산,2025-04-06 01:00,5.7,,2,91,,,,7
129,서산,2025-04-06 02:00,5.8,,1.5,88,,,,7
129,서산,2025-04-06 03:00,5.5,,1.8,91,,,,7
129,서산,2025-04-06 04:00,5.2,,1,92,,,,7
129,서산,2025-04-06 05:00,4.4,,1.4,94,,,,0
129,서산,2025-04-06 06:00,3.7,,.8,95,,,,0
129,서산,2025-04-06 07:00,3.2,,1.5,96,0,.07,,0
129,서산,2025-04-06 08:00,5.6,,1.3,94,.9,.57,,0
129,서산,2025-04-06 09:00,8,,1.9,81,1,1.37,,0
129,서산,2025-04-06 10:00,10.2,,2.3,73,1,2.12,,0
129,서산,2025-04-06 11:00,12.5,,2.5,62,1,2.77,,0
129,서산,2025-04-06 12:00,13.8,,3.5,49,1,3.17,,0
129,서산,2025-04-06 13:00,14.6,,4.9,36,1,3.36,,0
129,서산,2025-04-06 14:00,14.2,,4.6,50,1,3.26,,0
129,서산,2025-04-06 15:00,14.2,,3.8,47,1,2.87,,0
129,서산,2025-04-06 16:00,13.6,,4.2,54,1,2.32,,0
129,서산,2025-04-06 17:00,13,,4.2,54,1,1.62,,0
129,서산,2025-04-06 18:00,11.8,,3.6,59,1,.88,,0
129,서산,2025-04-06 19:00,9.9,,2.4,68,.7,.22,,0
129,서산,2025-04-06 20:00,8.4,,1.6,80,0,.01,,0
129,서산,2025-04-06 21:00,7.4,,2,92,,,,0
129,서산,2025-04-06 22:00,6.9,,1.8,91,,,,0
129,서산,2025-04-06 23:00,5.5,,.6,92,,,,0
129,서산,2025-04-07 00:00,4.5,,.3,94,,,,0
129,서산,2025-04-07 01:00,3.8,,0,96,,,,0
129,서산,2025-04-07 02:00,3.1,,1,96,,,,0
129,서산,2025-04-07 03:00,2.9,,0,97,,,,0
129,서산,2025-04-07 04:00,2.8,,.2,97,,,,0
129,서산,2025-04-07 05:00,2.3,,0,97,,,,0
129,서산,2025-04-07 06:00,2,,.8,97,,,,0
129,서산,2025-04-07 07:00,3.1,,0,97,.3,.09,,0
129,서산,2025-04-07 08:00,6.4,,1,97,.9,.66,,0
129,서산,2025-04-07 09:00,10.8,,3.1,50,1,1.44,,0
129,서산,2025-04-07 10:00,13.6,,3,42,1,2.16,,0
129,서산,2025-04-07 11:00,14.9,,4.4,31,1,2.7,,0
129,서산,2025-04-07 12:00,16.2,,4.8,28,1,3.05,,0
129,서산,2025-04-07 13:00,16.4,,5.9,30,1,3.18,,0
129,서산,2025-04-07 14:00,16.7,,5,33,1,3.06,,0
129,서산,2025-04-07 15:00,16.3,,6.4,37,1,2.7,,2
129,서산,2025-04-07 16:00,15.5,,5.9,41,1,2.12,,2
129,서산,2025-04-07 17:00,15.2,,5.1,48,1,1.47,,2
129,서산,2025-04-07 18:00,14.2,,5,49,.8,.66,,5
129,서산,2025-04-07 19:00,13.4,,6.2,56,0,.16,,2
129,서산,2025-04-07 20:00,13,,3.1,60,0,0,,3
129,서산,2025-04-07 21:00,13.3,,4.7,59,,,,0
129,서산,2025-04-07 22:00,13.5,,4.1,58,,,,0
129,서산,2025-04-07 23:00,12.1,,3.4,66,,,,0
129,서산,2025-04-08 00:00,11.8,,4.3,65,,,,0
129,서산,2025-04-08 01:00,11.2,,3.5,71,,,,0
129,서산,2025-04-08 02:00,11.2,,5,74,,,,0
129,서산,2025-04-08 03:00,9.9,,3.9,85,,,,2
129,서산,2025-04-08 04:00,9.7,,3.1,88,,,,0
129,서산,2025-04-08 05:00,9.6,,3.5,89,,,,0
129,서산,2025-04-08 06:00,9.6,,2.3,90,,,,7
129,서산,2025-04-08 07:00,9.7,,1.8,91,0,.06,,0
129,서산,2025-04-08 08:00,10.2,,2.3,89,0,.37,,6
129,서산,2025-04-08 09:00,11.4,,2,84,.2,1,,0
129,서산,2025-04-08 10:00,12.8,,2,78,.8,1.93,,0
129,서산,2025-04-08 11:00,15.9,,3.1,41,1,2.69,,0
129,서산,2025-04-08 12:00,16.9,,4.3,27,1,3.23,,0
129,서산,2025-04-08 13:00,16.7,,5.8,16,1,3.44,,0
129,서산,2025-04-08 14:00,17,,5.1,21,1,3.37,,0
129,서산,2025-04-08 15:00,16.7,,4.4,21,1,3.04,,0
129,서산,2025-04-08 16:00,16.7,,4,25,1,2.44,,0
129,서산,2025-04-08 17:00,16,,3.9,28,1,1.72,,0
129,서산,2025-04-08 18:00,14.3,,2.6,32,1,.85,,0
129,서산,2025-04-08 19:00,12.2,,.5,36,.4,.17,,0
129,서산,2025-04-08 20:00,10,,.4,51,0,0,,0
129,서산,2025-04-08 21:00,8.5,,.9,55,,,,0
129,서산,2025-04-08 22:00,7,,.4,64,,,,0
129,서산,2025-04-08 23:00,5.7,,.1,77,,,,0
129,서산,2025-04-09 00:00,4.9,,0,86,,,,0
129,서산,2025-04-09 01:00,4.3,,.2,88,,,,4
129,서산,2025-04-09 02:00,4.2,,.9,90,,,,6
129,서산,2025-04-09 03:00,4,,1.5,87,,,,6
129,서산,2025-04-09 04:00,3.3,,.1,91,,,,8
129,서산,2025-04-09 05:00,2.9,,.1,93,,,,6
129,서산,2025-04-09 06:00,2.9,,1.5,94,,,,5
129,서산,2025-04-09 07:00,3.2,,0,94,.1,.11,,6
129,서산,2025-04-09 08:00,6.7,,1,88,.8,.62,,6
129,서산,2025-04-09 09:00,10.3,,.8,67,1,1.14,,7
129,서산,2025-04-09 10:00,12.1,,1.4,58,.3,1.35,,9
129,서산,2025-04-09 11:00,13.3,,3.2,51,0,1.15,,9
129,서산,2025-04-09 12:00,15.1,,3.9,33,.3,1.95,,9
129,서산,2025-04-09 13:00,15.6,,4.3,30,.4,2.17,,8
129,서산,2025-04-09 14:00,15.4,,3.6,30,.4,2.03,,7
129,서산,2025-04-09 15:00,13.1,,1.8,38,.1,1.04,,10
129,서산,2025-04-09 16:00,12.5,0,1,58,.1,.59,,9
129,서산,2025-04-09 17:00,12.8,,.7,46,0,.48,,9
129,서산,2025-04-09 18:00,12.9,,1.8,49,0,.27,,9
129,서산,2025-04-09 19:00,12.2,,1.5,53,0,.04,,7
129,서산,2025-04-09 20:00,12,,1.4,50,0,0,,8
129,서산,2025-04-09 21:00,11.7,,.7,53,,,,8
129,서산,2025-04-09 22:00,11.2,,.6,54,,,,9
129,서산,2025-04-09 23:00,10.6,,1.1,61,,,,9
129,서산,2025-04-10 00:00,10,,.8,63,,,,10
129,서산,2025-04-10 01:00,9.5,,1,69,,,,6
129,서산,2025-04-10 02:00,7.9,,.7,78,,,,4
129,서산,2025-04-10 03:00,7.1,,0,86,,,,7
129,서산,2025-04-10 04:00,7,,.1,88,,,,9
129,서산,2025-04-10 05:00,7.4,,.8,86,,,,7
129,서산,2025-04-10 06:00,6.6,,.3,88,,,,2
129,서산,2025-04-10 07:00,6.2,,.4,91,0,.09,,0
129,서산,2025-04-10 08:00,9.7,,.4,69,.7,.58,,0
129,서산,2025-04-10 09:00,11.8,,1.2,48,1,1.31,,0
129,서산,2025-04-10 10:00,13.5,,1.3,37,1,2.07,,0
129,서산,2025-04-10 11:00,15.3,,1.9,36,1,2.68,,0
129,서산,2025-04-10 12:00,15.9,,2.4,37,1,3.02,,1
129,서산,2025-04-10 13:00,15.8,,3.8,33,1,3.22,,0
129,서산,2025-04-10 14:00,16.8,,2.6,32,1,3.17,,0
129,서산,2025-04-10 15:00,16.8,,2.9,37,1,2.9,,0
129,서산,2025-04-10 16:00,16.3,,4,35,1,2.43,,0
129,서산,2025-04-10 17:00,15.7,,3.7,41,1,1.74,,0
129,서산,2025-04-10 18:00,14,,4,45,1,.94,,0
129,서산,2025-04-10 19:00,12,,1.9,50,.8,.24,,0
129,서산,2025-04-10 20:00,10.3,,.5,58,0,0,,0
129,서산,2025-04-10 21:00,8.8,,.9,65,,,,0
129,서산,2025-04-10 22:00,7.6,,1.2,71,,,,0
129,서산,2025-04-10 23:00,6.6,,.3,77,,,,0
129,서산,2025-04-11 00:00,5.8,,0,82,,,,0
129,서산,2025-04-11 01:00,5.3,,0,85,,,,0
129,서산,2025-04-11 02:00,5.2,,.1,86,,,,0
129,서산,2025-04-11 03:00,4.4,,.3,90,,,,0
129,서산,2025-04-11 04:00,4.3,,1.7,92,,,,0
129,서산,2025-04-11 05:00,3.9,,.6,92,,,,0
129,서산,2025-04-11 06:00,3.3,,0,94,,,,0
129,서산,2025-04-11 07:00,4.5,,.7,96,.2,.13,,0
129,서산,2025-04-11 08:00,7.5,,1.5,82,.9,.68,,0
129,서산,2025-04-11 09:00,10.6,,1.3,73,1,1.46,,0
129,서산,2025-04-11 10:00,15.1,,1.4,52,1,2.22,,0
129,서산,2025-04-11 11:00,19.1,,2.5,40,1,2.79,,0
129,서산,2025-04-11 12:00,20.6,,1.3,37,1,3.16,,0
129,서산,2025-04-11 13:00,22,,2.1,33,1,3.33,,0
129,서산,2025-04-11 14:00,22.9,,2.1,30,1,3.22,,0
129,서산,2025-04-11 15:00,22.2,,2.1,38,1,2.88,,0
129,서산,2025-04-11 16:00,20.9,,2.4,39,1,2.32,,0
129,서산,2025-04-11 17:00,20.1,,1.7,40,1,1.66,,0
129,서산,2025-04-11 18:00,18.5,,3,42,.9,.75,,6
129,서산,2025-04-11 19:00,15.5,,2.2,56,0,.16,,4
129,서산,2025-04-11 20:00,12.9,,1.1,65,0,0,,6
129,서산,2025-04-11 21:00,11.3,,1.4,69,,,,6
129,서산,2025-04-11 22:00,9.9,,.1,75,,,,8
129,서산,2025-04-11 23:00,8.8,,.1,83,,,,8
129,서산,2025-04-12 00:00,9.7,,.5,79,,,,9
129,서산,2025-04-12 01:00,9,,.6,82,,,,8
129,서산,2025-04-12 02:00,8.6,,.1,84,,,,8
129,서산,2025-04-12 03:00,8.5,,.8,82,,,,8
129,서산,2025-04-12 04:00,8.7,,.4,83,,,,9
129,서산,2025-04-12 05:00,9.3,,.5,80,,,,10
129,서산,2025-04-12 06:00,9.1,,.7,81,,,,8
129,서산,2025-04-12 07:00,9.4,,.7,79,0,.1,,6
129,서산,2025-04-12 08:00,13.1,,.1,61,.2,.57,,6
129,서산,2025-04-12 09:00,18.5,,.6,33,.7,1.21,,7
129,서산,2025-04-12 10:00,21.7,,4.1,25,.8,1.83,,7
129,서산,2025-04-12 11:00,21.8,,3.4,25,.4,1.77,,10
129,서산,2025-04-12 12:00,20.3,,3.5,30,.1,.87,,10
129,서산,2025-04-12 13:00,19.5,0,3.4,36,0,.63,,10
129,서산,2025-04-12 14:00,19.4,,4.1,34,0,.53,,10
129,서산,2025-04-12 15:00,18.3,,4.5,36,0,.28,,10
129,서산,2025-04-12 16:00,14.6,0,5.5,78,0,.37,,10
129,서산,2025-04-12 17:00,12.5,1.7,3.3,92,0,.16,,10
129,서산,2025-04-12 18:00,6.6,3.2,3.6,94,0,.04,,10
129,서산,2025-04-12 19:00,5.6,1.9,3.7,94,0,.01,,10
129,서산,2025-04-12 20:00,4.9,4.8,3.9,92,0,0,,10
129,서산,2025-04-12 21:00,2.9,3.7,4,92,,,,10
129,서산,2025-04-12 22:00,1.6,2.2,2.5,95,,,,10
129,서산,2025-04-12 23:00,.5,2.3,.9,96,,,,10
129,서산,2025-04-13 00:00,.3,2.3,2.5,97,,,.4,10
129,서산,2025-04-13 01:00,.7,.1,.1,97,,,.4,10
129,서산,2025-04-13 02:00,1.1,,1.2,97,,,.4,10
129,서산,2025-04-13 03:00,1.5,,1.3,96,,,.4,9
129,서산,2025-04-13 04:00,2.6,,3.3,96,,,.4,2
129,서산,2025-04-13 05:00,3.6,,2.8,94,,,.3,2
129,서산,2025-04-13 06:00,3.5,,1.9,94,,,,0
129,서산,2025-04-13 07:00,5.2,,2.7,73,0,.13,,0
129,서산,2025-04-13 08:00,6.8,,3,56,.7,.6,,0
129,서산,2025-04-13 09:00,7.8,,5.6,54,.9,1.3,,7
129,서산,2025-04-13 10:00,6.3,0,6.8,66,.4,1.31,,8
129,서산,2025-04-13 11:00,7.4,,5.2,59,.5,1.88,,7
129,서산,2025-04-13 12:00,7.7,,6.8,65,.7,2.25,,7
129,서산,2025-04-13 13:00,8.6,,5.9,54,.8,2.83,,8
129,서산,2025-04-13 14:00,7.3,0,6.8,58,.4,1.92,,8
129,서산,2025-04-13 15:00,5.5,0,6.3,77,.1,1.21,,7
129,서산,2025-04-13 16:00,7.5,0,5.3,57,.4,1.56,,9
129,서산,2025-04-13 17:00,6.5,,4.2,67,.1,.76,,10
129,서산,2025-04-13 18:00,5.9,,2.9,73,.1,.42,,7
129,서산,2025-04-13 19:00,5.4,,3,68,.2,.23,,7
129,서산,2025-04-13 20:00,4.4,,1.8,82,0,.01,,2
129,서산,2025-04-13 21:00,4.2,,2.2,82,,,,7
129,서산,2025-04-13 22:00,5.2,,2.7,77,,,,10
129,서산,2025-04-13 23:00,3.9,.1,3.4,81,,,,10
129,서산,2025-04-14 00:00,3.3,.1,1.7,87,,,,10
129,서산,2025-04-14 01:00,2.6,,.8,88,,,,0
129,서산,2025-04-14 02:00,2.2,,.3,93,,,,10
129,서산,2025-04-14 03:00,4.1,0,3.8,84,,,,10
129,서산,2025-04-14 04:00,3.3,.5,1.9,89,,,,10
129,서산,2025-04-14 05:00,3.4,,.7,88,,,,10
129,서산,2025-04-14 06:00,4.3,0,2.3,81,,,,10
129,서산,2025-04-14 07:00,4.4,,2.3,89,0,.18,,6
129,서산,2025-04-14 08:00,5.5,,1,81,.4,.62,,9
129,서산,2025-04-14 09:00,6.1,,2.9,79,0,.62,,10
129,서산,2025-04-14 10:00,5.8,.9,3.8,84,0,.34,,10
129,서산,2025-04-14 11:00,6.5,.3,4.2,71,.1,.87,,8
129,서산,2025-04-14 12:00,6.8,0,5.5,66,.1,1.19,,10
129,서산,2025-04-14 13:00,6.6,0,4.9,84,0,.83,,10
129,서산,2025-04-14 14:00,6,.8,3.6,87,.1,.92,,10
129,서산,2025-04-14 15:00,5.6,.7,3.5,90,0,.51,,10
129,서산,2025-04-14 16:00,5.3,1.4,2.8,92,0,.33,,9
129,서산,2025-04-14 17:00,5.4,.1,2,92,0,.32,,10
129,서산,2025-04-14 18:00,5.4,.5,2.2,93,0,.2,,9
129,서산,2025-04-14 19:00,4.7,.1,2.1,92,0,.1,,7
129,서산,2025-04-14 20:00,4.8,.2,2.7,93,0,0,,7
129,서산,2025-04-14 21:00,4.8,.1,2.6,94,,,,7
129,서산,2025-04-14 22:00,5.2,,1.5,89,,,,7
129,서산,2025-04-14 23:00,5.2,,1.6,91,,,,5
129,서산,2025-04-15 00:00,4.9,,1.5,91,,,,2
129,서산,2025-04-15 01:00,4.5,,.7,88,,,,0
129,서산,2025-04-15 02:00,3.7,,.1,91,,,,0
129,서산,2025-04-15 03:00,2.7,,1.2,96,,,,0
129,서산,2025-04-15 04:00,2.5,,1.2,96,,,,0
129,서산,2025-04-15 05:00,1.2,,.3,96,,,,7
129,서산,2025-04-15 06:00,1.7,,.3,97,,,,7
129,서산,2025-04-15 07:00,2.5,,.5,97,.2,.15,,0
129,서산,2025-04-15 08:00,5.7,,1.8,97,.9,.75,,0
129,서산,2025-04-15 09:00,7.9,,1.6,84,1,1.54,,2
129,서산,2025-04-15 10:00,10.6,,3.4,60,1,2.29,,0
129,서산,2025-04-15 11:00,11.6,,4.9,47,1,2.96,,0
129,서산,2025-04-15 12:00,12.2,,5,45,1,3.46,,1
129,서산,2025-04-15 13:00,12.5,,4.9,45,1,3.51,,1
129,서산,2025-04-15 14:00,13.1,,4.6,48,1,3.42,,1
129,서산,2025-04-15 15:00,12.6,,4.3,52,1,3.05,,0
129,서산,2025-04-15 16:00,11.8,,4.3,60,1,2.51,,1
129,서산,2025-04-15 17:00,11.3,,3.5,64,.9,1.59,,1
129,서산,2025-04-15 18:00,10.8,,3.1,57,1,1.01,,0
129,서산,2025-04-15 19:00,8.6,,2.7,80,.7,.26,,0
129,서산,2025-04-15 20:00,7.5,,2.3,85,0,0,,0
129,서산,2025-04-15 21:00,7.3,,1.9,89,,,,0
129,서산,2025-04-15 22:00,6.9,,1.9,93,,,,0
129,서산,2025-04-15 23:00,6.6,,1.5,94,,,,4
129,서산,2025-04-16 00:00,6.4,,1,92,,,,0
129,서산,2025-04-16 01:00,5.1,,.8,94,,,,0
129,서산,2025-04-16 02:00,5.7,,1.3,96,,,,0
129,서산,2025-04-16 03:00,6.3,,.6,97,,,,0
129,서산,2025-04-16 04:00,5.2,,0,96,,,,0
129,서산,2025-04-16 05:00,4.5,,.1,96,,,,1
129,서산,2025-04-16 06:00,4.1,,.5,97,0,0,,0
129,서산,2025-04-16 07:00,5.4,,1.2,97,.2,.17,,0
129,서산,2025-04-16 08:00,8.9,,1.1,81,.9,.63,,5
129,서산,2025-04-16 09:00,12.3,,.6,64,1,1.41,,0
129,서산,2025-04-16 10:00,15.3,,3.6,54,1,2.14,,3
129,서산,2025-04-16 11:00,17.1,,4.4,52,1,2.72,,5
129,서산,2025-04-16 12:00,17.7,,5.9,51,1,3.03,,6
129,서산,2025-04-16 13:00,18.9,,4.7,49,1,2.88,,7
129,서산,2025-04-16 14:00,18.7,,5.2,49,1,2.72,,7
129,서산,2025-04-16 15:00,18.6,,5.1,46,.9,2.15,,7
129,서산,2025-04-16 16:00,18.1,,4.5,48,.9,2.11,,5
129,서산,2025-04-16 17:00,17,,4.2,51,.4,1.11,,8
129,서산,2025-04-16 18:00,17,,4.6,52,.3,.62,,8
129,서산,2025-04-16 19:00,16,,3.6,55,.1,.24,,4
129,서산,2025-04-16 20:00,13.6,,1.9,72,0,.01,,8
129,서산,2025-04-16 21:00,14.1,,4.2,74,,,,0
129,서산,2025-04-16 22:00,14.6,,3.8,79,,,,0
129,서산,2025-04-16 23:00,12.9,,2.4,85,,,,0
129,서산,2025-04-17 00:00,13.7,,2.4,83,,,,7
129,서산,2025-04-17 01:00,14.4,,2.8,83,,,,7
129,서산,2025-04-17 02:00,15.8,,3,81,,,,7
129,서산,2025-04-17 03:00,16.5,,4,78,,,,0
129,서산,2025-04-17 04:00,16.6,,3.7,79,,,,0
129,서산,2025-04-17 05:00,16.3,,3,80,,,,0
129,서산,2025-04-17 06:00,16,,2.9,82,0,0,,0
129,서산,2025-04-17 07:00,15.8,,3.7,82,0,.1,,0
129,서산,2025-04-17 08:00,16.9,,3.7,81,.1,.49,,9
129,서산,2025-04-17 09:00,17.9,,4.4,78,.7,1.26,,0
129,서산,2025-04-17 10:00,19,,4.6,73,1,2.03,,1
129,서산,2025-04-17 11:00,19.6,,6.3,71,1,2.43,,7
129,서산,2025-04-17 12:00,19.8,,7,71,.8,2.45,,7
129,서산,2025-04-17 13:00,19.8,,4.9,70,.2,1.95,,9
129,서산,2025-04-17 14:00,20.8,,4.6,68,.6,2.23,,7
129,서산,2025-04-17 15:00,20.8,,4.9,64,1,2.41,,7
129,서산,2025-04-17 16:00,20.2,,5.3,65,.9,1.74,,8
129,서산,2025-04-17 17:00,19.4,,5.2,71,.3,1.06,,8
129,서산,2025-04-17 18:00,17.6,,4.1,78,0,.36,,9
129,서산,2025-04-17 19:00,16.7,,4.3,82,0,.11,,10
129,서산,2025-04-17 20:00,15.6,,5.2,85,0,0,,8
129,서산,2025-04-17 21:00,15.8,,3.4,82,,,,8
129,서산,2025-04-17 22:00,15.7,,3.6,79,,,,0
129,서산,2025-04-17 23:00,15.1,,2.5,84,,,,2
129,서산,2025-04-18 00:00,15.3,,2.9,84,,,,0
129,서산,2025-04-18 01:00,14.3,,2.9,91,,,,0
129,서산,2025-04-18 02:00,14.1,,3,95,,,,10
